Data;28763 - Estoque de empregos formais - Total - Unidades;28764 - Estoque de empregos formais - Agropecuária - Unidades;28765 - Estoque de empregos formais - Indústrias extrativas - Unidades;28766 - Estoque de empregos formais - Indústrias de transformação - Unidades;28767 - Estoque de empregos formais - SIUP - Unidades;28768 - Estoque de empregos formais - Eletricidade e gás - Unidades;28769 - Estoque de empregos formais - Água, esgoto, atividades de gestão de resíduos e descontaminação - Unidades;28770 - Estoque de empregos formais - Construção - Unidades;28771 - Estoque de empregos formais - Comércio - Unidades;28772 - Estoque de empregos formais - Serviços - Unidades;28773 - Estoque de empregos formais - Transporte, armazenamento e correio - Unidades;28774 - Estoque de empregos formais - Alojamento e alimentação - Unidades;28775 - Estoque de empregos formais - Informação e comunicação - Unidades;28776 - Estoque de empregos formais - Atividades financeiras e seguros - Unidades
09/2021;40405641;1734464;236290;7277305;476690;121486;355204;2338387;9369483;18973019;2406625;1665585;1030737;871533
10/2021;40658150;1728165;237352;7300402;478273;121525;356748;2354357;9439428;19120172;2419886;1699380;1041580;876524
11/2021;40971471;1708614;237730;7304184;479878;121265;358613;2363618;9580409;19297037;2436150;1736260;1053057;881583
12/2021;40678355;1680672;236578;7213977;477166;120674;356492;2308188;9586422;19175352;2423121;1755614;1057514;882698
01/2022;40840159;1705815;237049;7263801;479272;120683;358589;2344830;9521217;19288177;2428117;1758285;1064666;886411
02/2022;41188006;1723526;238926;7301663;482909;120515;362394;2384034;9534513;19522439;2442217;1779792;1072866;891946
03/2022;41284933;1704623;239716;7304469;485055;120677;364378;2402786;9525399;19622889;2456311;1785749;1081608;894594
04/2022;41487555;1703973;241227;7326901;487403;120441;366962;2427969;9555975;19744111;2472093;1805739;1090119;898568
05/2022;41765151;1731705;242729;7368340;490760;120271;370489;2462311;9603818;19865492;2486315;1827363;1098420;901532
06/2022;42048658;1767491;244080;7406465;493164;120427;372737;2492669;9652128;19992665;2503234;1845544;1107148;905158
07/2022;42273697;1783769;245648;7452843;495911;120877;375034;2524802;9692097;20078631;2516496;1858583;1112177;908136
08/2022;42561765;1792193;246878;7502165;498464;121143;377321;2560705;9735843;20225521;2530867;1876084;1118856;912273
09/2022;42839153;1801706;247967;7556071;500138;121451;378687;2591357;9793961;20347957;2545723;1894383;1126854;915833
